time_UTC,latitude_degrees_north,longitude_degrees_east,sea_surface_temperature_anomaly_degree_C
2012-09-15 23:00:00+00:00,39.525,-123.975,-0.88
2012-10-15 23:00:00+00:00,39.525,-123.975,0.28
2012-11-16 00:00:00+00:00,39.525,-123.975,1.84
2012-12-16 00:00:00+00:00,39.525,-123.975,0.7
2013-01-16 00:00:00+00:00,39.525,-123.975,-0.77
2013-02-16 00:00:00+00:00,39.525,-123.975,-1.52
2013-03-15 23:00:00+00:00,39.525,-123.975,-1.7
2013-04-15 23:00:00+00:00,39.525,-123.975,-1.29
2013-05-15 23:00:00+00:00,39.525,-123.975,-0.52
2013-06-15 23:00:00+00:00,39.525,-123.975,0.04
2013-07-15 23:00:00+00:00,39.525,-123.975,0.21
2013-08-15 23:00:00+00:00,39.525,-123.975,0.66
2013-09-15 23:00:00+00:00,39.525,-123.975,0.97
2013-10-15 23:00:00+00:00,39.525,-123.975,-1.35
2013-11-16 00:00:00+00:00,39.525,-123.975,-0.09
2013-12-16 00:00:00+00:00,39.525,-123.975,-0.65
2014-01-16 00:00:00+00:00,39.525,-123.975,-0.22
2014-02-16 00:00:00+00:00,39.525,-123.975,-0.12
2014-03-15 23:00:00+00:00,39.525,-123.975,0.39
2014-04-15 23:00:00+00:00,39.525,-123.975,0.5
2014-05-15 23:00:00+00:00,39.525,-123.975,0.56
2014-06-15 23:00:00+00:00,39.525,-123.975,-0.18
2014-07-15 23:00:00+00:00,39.525,-123.975,1.24
2014-08-15 23:00:00+00:00,39.525,-123.975,1.0
2014-09-15 23:00:00+00:00,39.525,-123.975,2.45
2014-10-15 23:00:00+00:00,39.525,-123.975,2.4
2014-11-16 00:00:00+00:00,39.525,-123.975,3.18
2014-12-16 00:00:00+00:00,39.525,-123.975,3.03
2015-01-16 00:00:00+00:00,39.525,-123.975,1.61
2015-02-16 00:00:00+00:00,39.525,-123.975,1.75
2015-03-15 23:00:00+00:00,39.525,-123.975,1.07
2015-04-15 23:00:00+00:00,39.525,-123.975,-0.11
2015-05-15 23:00:00+00:00,39.525,-123.975,-0.45
2015-06-15 23:00:00+00:00,39.525,-123.975,0.5
2015-07-15 23:00:00+00:00,39.525,-123.975,2.15
2015-08-15 23:00:00+00:00,39.525,-123.975,2.5
2015-09-15 23:00:00+00:00,39.525,-123.975,1.05
2015-10-15 23:00:00+00:00,39.525,-123.975,2.25
2015-11-16 00:00:00+00:00,39.525,-123.975,0.72
2015-12-16 00:00:00+00:00,39.525,-123.975,0.85
2016-01-16 00:00:00+00:00,39.525,-123.975,1.06
2016-02-16 00:00:00+00:00,39.525,-123.975,1.39
2016-03-15 23:00:00+00:00,39.525,-123.975,1.54
2016-04-15 23:00:00+00:00,39.525,-123.975,0.87
2016-05-15 23:00:00+00:00,39.525,-123.975,0.35
2016-06-15 23:00:00+00:00,39.525,-123.975,0.38
2016-07-15 23:00:00+00:00,39.525,-123.975,0.52
2016-08-15 23:00:00+00:00,39.525,-123.975,0.0
2016-09-15 23:00:00+00:00,39.525,-123.975,-0.29
2016-10-15 23:00:00+00:00,39.525,-123.975,0.48
2016-11-16 00:00:00+00:00,39.525,-123.975,2.2
2016-12-16 00:00:00+00:00,39.525,-123.975,0.41
2017-01-16 00:00:00+00:00,39.525,-123.975,-0.31
2017-02-16 00:00:00+00:00,39.525,-123.975,0.53
2017-03-15 23:00:00+00:00,39.525,-123.975,0.51
2017-04-15 23:00:00+00:00,39.525,-123.975,0.12
2017-05-15 23:00:00+00:00,39.525,-123.975,-1.05
2017-06-15 23:00:00+00:00,39.525,-123.975,-0.13
2017-07-15 23:00:00+00:00,39.525,-123.975,-0.09
2017-08-15 23:00:00+00:00,39.525,-123.975,0.42
2017-09-15 23:00:00+00:00,39.525,-123.975,1.0
2017-10-15 23:00:00+00:00,39.525,-123.975,-1.03
2017-11-16 00:00:00+00:00,39.525,-123.975,0.91
2017-12-16 00:00:00+00:00,39.525,-123.975,0.76
2018-01-16 00:00:00+00:00,39.525,-123.975,0.85
2018-02-16 00:00:00+00:00,39.525,-123.975,-0.04
2018-03-15 23:00:00+00:00,39.525,-123.975,-0.29
2018-04-15 23:00:00+00:00,39.525,-123.975,0.24
2018-05-15 23:00:00+00:00,39.525,-123.975,-0.06
2018-06-15 23:00:00+00:00,39.525,-123.975,-0.87
2018-07-15 23:00:00+00:00,39.525,-123.975,0.77
2018-08-15 23:00:00+00:00,39.525,-123.975,0.09
2018-09-15 23:00:00+00:00,39.525,-123.975,-0.78
2018-10-15 23:00:00+00:00,39.525,-123.975,0.84
2018-11-16 00:00:00+00:00,39.525,-123.975,0.22
2018-12-16 00:00:00+00:00,39.525,-123.975,1.33
2019-01-16 00:00:00+00:00,39.525,-123.975,0.78
2019-02-16 00:00:00+00:00,39.525,-123.975,0.75
2019-03-15 23:00:00+00:00,39.525,-123.975,0.39
2019-04-15 23:00:00+00:00,39.525,-123.975,-0.02
2019-05-15 23:00:00+00:00,39.525,-123.975,0.22
2019-06-15 23:00:00+00:00,39.525,-123.975,-0.19
2019-07-15 23:00:00+00:00,39.525,-123.975,-0.09
2019-08-15 23:00:00+00:00,39.525,-123.975,0.21
2019-09-15 23:00:00+00:00,39.525,-123.975,0.97
2019-10-15 23:00:00+00:00,39.525,-123.975,0.51
2019-11-16 00:00:00+00:00,39.525,-123.975,0.19
2019-12-16 00:00:00+00:00,39.525,-123.975,0.33
2020-01-16 00:00:00+00:00,39.525,-123.975,0.02
2020-02-16 00:00:00+00:00,39.525,-123.975,-0.83
2020-03-15 23:00:00+00:00,39.525,-123.975,-0.47
2020-04-15 23:00:00+00:00,39.525,-123.975,0.22
2020-05-15 23:00:00+00:00,39.525,-123.975,0.52
2020-06-15 23:00:00+00:00,39.525,-123.975,-0.14
2020-07-15 23:00:00+00:00,39.525,-123.975,-1.16
2020-08-15 23:00:00+00:00,39.525,-123.975,-0.02
2020-09-15 23:00:00+00:00,39.525,-123.975,1.81
2020-10-15 23:00:00+00:00,39.525,-123.975,0.66
2020-11-16 00:00:00+00:00,39.525,-123.975,-0.75
2020-12-16 00:00:00+00:00,39.525,-123.975,-0.47
2021-01-16 00:00:00+00:00,39.525,-123.975,-0.14
2021-02-16 00:00:00+00:00,39.525,-123.975,-0.97
2021-03-15 23:00:00+00:00,39.525,-123.975,-1.71
2021-04-15 23:00:00+00:00,39.525,-123.975,-1.24
2021-05-15 23:00:00+00:00,39.525,-123.975,-1.43
2021-06-15 23:00:00+00:00,39.525,-123.975,-0.35
2021-07-15 23:00:00+00:00,39.525,-123.975,-0.61
2021-08-15 23:00:00+00:00,39.525,-123.975,-0.66
2021-09-16 00:00:00+00:00,39.525,-123.975,-0.19
2021-10-16 00:00:00+00:00,39.525,-123.975,-0.57
2021-11-16 00:00:00+00:00,39.525,-123.975,1.16
2021-12-16 00:00:00+00:00,39.525,-123.975,0.17
2022-01-16 00:00:00+00:00,39.525,-123.975,-0.09
2022-02-16 00:00:00+00:00,39.525,-123.975,-0.72
2022-03-16 00:00:00+00:00,39.525,-123.975,-0.99
2022-04-16 00:00:00+00:00,39.525,-123.975,-0.82
2022-05-16 00:00:00+00:00,39.525,-123.975,-0.93
2022-06-16 00:00:00+00:00,39.525,-123.975,-0.02
2022-07-16 00:00:00+00:00,39.525,-123.975,-0.04
2022-08-16 00:00:00+00:00,39.525,-123.975,1.08
2022-09-16 00:00:00+00:00,39.525,-123.975,1.09
2022-10-16 00:00:00+00:00,39.525,-123.975,-0.43
2022-11-16 00:00:00+00:00,39.525,-123.975,-0.42
2022-12-16 00:00:00+00:00,39.525,-123.975,-0.29
2023-01-16 00:00:00+00:00,39.525,-123.975,0.35
2023-02-16 00:00:00+00:00,39.525,-123.975,-1.19
2023-03-16 00:00:00+00:00,39.525,-123.975,-1.51
2023-04-16 00:00:00+00:00,39.525,-123.975,-1.18
2023-05-16 00:00:00+00:00,39.525,-123.975,-0.29
2023-06-16 00:00:00+00:00,39.525,-123.975,0.09
2023-07-16 00:00:00+00:00,39.525,-123.975,-0.27
2023-08-16 00:00:00+00:00,39.525,-123.975,-0.01
2023-09-16 00:00:00+00:00,39.525,-123.975,-0.38
2023-10-16 00:00:00+00:00,39.525,-123.975,0.95
2023-11-16 00:00:00+00:00,39.525,-123.975,2.13
2023-12-16 00:00:00+00:00,39.525,-123.975,1.63
2024-01-16 00:00:00+00:00,39.525,-123.975,1.36
2024-02-16 00:00:00+00:00,39.525,-123.975,1.34
2024-03-16 00:00:00+00:00,39.525,-123.975,0.78
2024-04-16 00:00:00+00:00,39.525,-123.975,0.23
2024-05-16 00:00:00+00:00,39.525,-123.975,-1.07
2024-06-16 00:00:00+00:00,39.525,-123.975,-1.27
2024-07-16 00:00:00+00:00,39.525,-123.975,-0.33
2024-08-16 00:00:00+00:00,39.525,-123.975,0.82
2024-09-16 00:00:00+00:00,39.525,-123.975,-0.3
2024-10-16 00:00:00+00:00,39.525,-123.975,0.13
2024-11-16 00:00:00+00:00,39.525,-123.975,0.58
2024-12-16 00:00:00+00:00,39.525,-123.975,0.94
2025-01-16 00:00:00+00:00,39.525,-123.975,0.21
2025-02-16 00:00:00+00:00,39.525,-123.975,-0.31
2025-03-16 00:00:00+00:00,39.525,-123.975,-0.05
