Site,Latitude,Date,Year,Classcode,Amount,Stipes,Total,Distance,Area_m2,Species_Density,Dateordinal,Total_Count_Site,n_n1,pi_lnpi,species_presence
120 Reef,33.737919,2011-09-17,2011,Southern Sea Palm >30,4,0.0,4.0,180.0,360.0,0.011111111111111112,734397,1040.0,12.0,-0.021387237042367415,True
120 Reef,33.737919,2011-09-17,2011,Woody Kelp,129,0.0,129.0,162.0,324.0,0.39814814814814814,734397,1040.0,16512.0,-0.25888856040655117,True
120 Reef,33.737919,2012-06-09,2012,Giant Kelp,75,576.0,576.0,1620.0,3240.0,0.17777777777777778,734663,681.0,331200.0,-0.14163564725592623,True
120 Reef,33.737919,2012-06-09,2012,Laminaria Spp,1,0.0,1.0,180.0,360.0,0.002777777777777778,734663,681.0,0.0,-0.00957938664632821,True
120 Reef,33.737919,2012-06-09,2012,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,734663,681.0,-0.0,,False
120 Reef,33.737919,2012-06-09,2012,Woody Kelp,104,0.0,104.0,168.0,336.0,0.30952380952380953,734663,681.0,10712.0,-0.28698065540212414,True
120 Reef,33.737919,2013-06-15,2013,Giant Kelp,148,887.0,887.0,2370.0,4740.0,0.18713080168776372,735034,1140.0,785882.0,-0.19524780868687633,True
120 Reef,33.737919,2013-06-15,2013,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,735034,1140.0,-0.0,,False
120 Reef,33.737919,2013-06-15,2013,Southern Sea Palm >30,1,0.0,1.0,180.0,360.0,0.002777777777777778,735034,1140.0,0.0,-0.006174371527533809,True
120 Reef,33.737919,2013-06-15,2013,Woody Kelp,252,0.0,252.0,117.0,234.0,1.0769230769230769,735034,1140.0,63252.0,-0.33364677401494186,True
120 Reef,33.737919,2014-06-14,2014,Giant Kelp,161,1088.0,1088.0,2580.0,5160.0,0.21085271317829457,735398,1165.0,1182656.0,-0.06386040616248698,True
120 Reef,33.737919,2014-06-14,2014,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,735398,1165.0,-0.0,,False
120 Reef,33.737919,2014-06-14,2014,Southern Sea Palm >30,4,0.0,4.0,180.0,360.0,0.011111111111111112,735398,1165.0,12.0,-0.019482169973836602,True
120 Reef,33.737919,2014-06-14,2014,Woody Kelp,73,0.0,73.0,174.0,348.0,0.20977011494252873,735398,1165.0,5256.0,-0.17357187597781365,True
120 Reef,33.737919,2015-08-21,2015,Giant Kelp,147,745.0,745.0,2040.0,4080.0,0.18259803921568626,735831,841.0,554280.0,-0.107371633753953,True
120 Reef,33.737919,2015-08-21,2015,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,735831,841.0,-0.0,,False
120 Reef,33.737919,2015-08-21,2015,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,735831,841.0,-0.0,,False
120 Reef,33.737919,2015-08-21,2015,Southern Sea Palm >30,26,0.0,26.0,180.0,360.0,0.07222222222222222,735831,841.0,650.0,-0.10747785157043771,True
120 Reef,33.737919,2015-08-21,2015,Woody Kelp,70,0.0,70.0,180.0,360.0,0.19444444444444445,735831,841.0,4830.0,-0.206928358210049,True
120 Reef,33.737919,2016-08-20,2016,Giant Kelp,237,697.0,697.0,1726.0,3452.0,0.20191193511008113,736196,699.0,485112.0,-0.0028571330999722696,True
120 Reef,33.737919,2016-08-20,2016,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,736196,699.0,-0.0,,False
120 Reef,33.737919,2016-08-20,2016,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,736196,699.0,-0.0,,False
120 Reef,33.737919,2016-08-20,2016,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,736196,699.0,-0.0,,False
120 Reef,33.737919,2016-08-20,2016,Woody Kelp,2,0.0,2.0,180.0,360.0,0.005555555555555556,736196,699.0,2.0,-0.016756805612800758,True
120 Reef,33.737919,2017-07-18,2017,Giant Kelp,300,426.0,426.0,1008.2,2016.4,0.2112676056338028,736528,450.0,181050.0,-0.05188513054859529,True
120 Reef,33.737919,2017-07-18,2017,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,736528,450.0,-0.0,,False
120 Reef,33.737919,2017-07-18,2017,Sargassum Horneri,23,0.0,23.0,180.0,360.0,0.06388888888888888,736528,450.0,506.0,-0.15199183874935548,True
120 Reef,33.737919,2017-07-18,2017,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,736528,450.0,-0.0,,False
120 Reef,33.737919,2017-07-18,2017,Woody Kelp,1,0.0,1.0,180.0,360.0,0.002777777777777778,736528,450.0,0.0,-0.013576105739476367,True
120 Reef,33.737919,2018-07-10,2018,Feather Boa Kelp,0,0.0,0.0,180.0,360.0,0.0,736885,876.0,-0.0,,False
120 Reef,33.737919,2018-07-10,2018,Giant Kelp,263,876.0,876.0,2540.0,5080.0,0.17244094488188977,736885,876.0,766500.0,0.0,True
120 Reef,33.737919,2018-07-10,2018,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,736885,876.0,-0.0,,False
120 Reef,33.737919,2018-07-10,2018,Southern Sea Palm <30,0,0.0,0.0,180.0,360.0,0.0,736885,876.0,-0.0,,False
120 Reef,33.737919,2018-07-10,2018,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,736885,876.0,-0.0,,False
120 Reef,33.737919,2018-07-10,2018,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,736885,876.0,-0.0,,False
120 Reef,33.737919,2019-06-13,2019,Feather Boa Kelp,0,0.0,0.0,180.0,360.0,0.0,737223,150.0,-0.0,,False
120 Reef,33.737919,2019-06-13,2019,Giant Kelp,149,104.0,149.0,840.0,1680.0,0.0886904761904762,737223,150.0,22052.0,-0.006644394896458007,True
120 Reef,33.737919,2019-06-13,2019,Sargassum Horneri,1,0.0,1.0,180.0,360.0,0.002777777777777778,737223,150.0,0.0,-0.033404235293975036,True
120 Reef,33.737919,2019-06-13,2019,Southern Sea Palm <30,0,0.0,0.0,180.0,360.0,0.0,737223,150.0,-0.0,,False
120 Reef,33.737919,2019-06-13,2019,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,737223,150.0,-0.0,,False
120 Reef,33.737919,2019-06-13,2019,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,737223,150.0,-0.0,,False
120 Reef,33.737919,2020-09-20,2020,Feather Boa Kelp,1,1.0,1.0,180.0,360.0,0.002777777777777778,737688,852.0,0.0,-0.00791970249627854,True
120 Reef,33.737919,2020-09-20,2020,Giant Kelp,194,843.0,843.0,2173.6,4347.2,0.19391792418108209,737688,852.0,709806.0,-0.010507390283508217,True
120 Reef,33.737919,2020-09-20,2020,Sargassum Horneri,8,0.0,8.0,180.0,360.0,0.022222222222222223,737688,852.0,56.0,-0.043832347278398874,True
120 Reef,33.737919,2020-09-20,2020,Southern Sea Palm <30,0,0.0,0.0,180.0,360.0,0.0,737688,852.0,-0.0,,False
120 Reef,33.737919,2020-09-20,2020,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,737688,852.0,-0.0,,False
120 Reef,33.737919,2020-09-20,2020,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,737688,852.0,-0.0,,False
120 Reef,33.737919,2021-10-31,2021,Feather Boa Kelp,0,0.0,0.0,180.0,360.0,0.0,738094,211.0,-0.0,,False
120 Reef,33.737919,2021-10-31,2021,Giant Kelp,59,199.0,199.0,870.0,1740.0,0.11436781609195402,738094,211.0,39402.0,-0.05522326275622395,True
120 Reef,33.737919,2021-10-31,2021,Sargassum Horneri,3,0.0,3.0,180.0,360.0,0.008333333333333333,738094,211.0,6.0,-0.060472689736606015,True
120 Reef,33.737919,2021-10-31,2021,Southern Sea Palm <30,8,0.0,8.0,180.0,360.0,0.022222222222222223,738094,211.0,56.0,-0.12407266698753482,True
120 Reef,33.737919,2021-10-31,2021,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,738094,211.0,-0.0,,False
120 Reef,33.737919,2021-10-31,2021,Woody Kelp,1,0.0,1.0,180.0,360.0,0.002777777777777778,738094,211.0,0.0,-0.025364256556758613,True
120 Reef,33.737919,2022-07-28,2022,Feather Boa Kelp,0,0.0,0.0,180.0,360.0,0.0,738364,143.0,-0.0,,False
120 Reef,33.737919,2022-07-28,2022,Giant Kelp,114,143.0,143.0,870.0,1740.0,0.08218390804597701,738364,143.0,20306.0,0.0,True
120 Reef,33.737919,2022-07-28,2022,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,738364,143.0,-0.0,,False
120 Reef,33.737919,2022-07-28,2022,Southern Sea Palm <30,0,0.0,0.0,180.0,360.0,0.0,738364,143.0,-0.0,,False
120 Reef,33.737919,2022-07-28,2022,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,738364,143.0,-0.0,,False
120 Reef,33.737919,2022-07-28,2022,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,738364,143.0,-0.0,,False
120 Reef,33.737919,2024-07-19,2024,Feather Boa Kelp,0,0.0,0.0,180.0,360.0,0.0,739086,259.0,-0.0,,False
120 Reef,33.737919,2024-07-19,2024,Giant Kelp,45,238.0,238.0,690.0,1380.0,0.17246376811594202,739086,259.0,56406.0,-0.07770138359335518,True
120 Reef,33.737919,2024-07-19,2024,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,739086,259.0,-0.0,,False
120 Reef,33.737919,2024-07-19,2024,Southern Sea Palm <30,1,0.0,1.0,180.0,360.0,0.002777777777777778,739086,259.0,0.0,-0.021454934601156515,True
120 Reef,33.737919,2024-07-19,2024,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,739086,259.0,-0.0,,False
120 Reef,33.737919,2024-07-19,2024,Woody Kelp,20,0.0,20.0,180.0,360.0,0.05555555555555555,739086,259.0,380.0,-0.19776801452861367,True
Abalone Cove,33.736149,2007-09-29,2007,Giant Kelp,7,34.0,34.0,330.0,660.0,0.051515151515151514,732948,34.0,1122.0,0.0,True
Abalone Cove,33.736149,2007-09-29,2007,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,732948,34.0,-0.0,,False
Abalone Cove,33.736149,2007-09-29,2007,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,732948,34.0,-0.0,,False
Abalone Cove,33.736149,2007-09-29,2007,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,732948,34.0,-0.0,,False
Abalone Cove,33.736149,2008-08-09,2008,Giant Kelp,1,1.0,1.0,180.0,360.0,0.002777777777777778,733263,2.0,0.0,-0.34657359027997264,True
Abalone Cove,33.736149,2008-08-09,2008,Laminaria Spp,1,0.0,1.0,180.0,360.0,0.002777777777777778,733263,2.0,0.0,-0.34657359027997264,True
Abalone Cove,33.736149,2008-08-09,2008,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,733263,2.0,-0.0,,False
Abalone Cove,33.736149,2008-08-09,2008,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,733263,2.0,-0.0,,False
Abalone Cove,33.736149,2009-06-07,2009,Giant Kelp,121,393.0,393.0,1200.0,2400.0,0.16375,733565,477.0,154056.0,-0.15959497579559417,True
Abalone Cove,33.736149,2009-06-07,2009,Laminaria Spp,6,0.0,6.0,180.0,360.0,0.016666666666666666,733565,477.0,30.0,-0.055040968825915554,True
Abalone Cove,33.736149,2009-06-07,2009,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,733565,477.0,-0.0,,False
Abalone Cove,33.736149,2009-06-07,2009,Woody Kelp,78,0.0,78.0,159.0,318.0,0.24528301886792453,733565,477.0,6006.0,-0.2961069136425628,True
Abalone Cove,33.736149,2010-07-10,2010,Giant Kelp,114,660.0,660.0,1710.0,3420.0,0.19298245614035087,733963,1003.0,434940.0,-0.27539105577404427,True
Abalone Cove,33.736149,2010-07-10,2010,Laminaria Spp,50,0.0,50.0,170.0,340.0,0.14705882352941177,733963,1003.0,2450.0,-0.14948792535063757,True
Abalone Cove,33.736149,2010-07-10,2010,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,733963,1003.0,-0.0,,False
Abalone Cove,33.736149,2010-07-10,2010,Woody Kelp,293,0.0,293.0,95.0,190.0,1.5421052631578946,733963,1003.0,85556.0,-0.35948096354022574,True
Abalone Cove,33.736149,2012-06-09,2012,Giant Kelp,74,730.0,730.0,1620.0,3240.0,0.22530864197530864,734663,780.0,532170.0,-0.06200263005779031,True
Abalone Cove,33.736149,2012-06-09,2012,Laminaria Spp,2,0.0,2.0,180.0,360.0,0.005555555555555556,734663,780.0,2.0,-0.015297812151599212,True
Abalone Cove,33.736149,2012-06-09,2012,Southern Sea Palm >30,12,0.0,12.0,180.0,360.0,0.03333333333333333,734663,780.0,132.0,-0.06422134261377903,True
Abalone Cove,33.736149,2012-06-09,2012,Woody Kelp,36,0.0,36.0,180.0,360.0,0.1,734663,780.0,1260.0,-0.14195884528742433,True
Abalone Cove,33.736149,2013-06-15,2013,Giant Kelp,35,332.0,332.0,780.0,1560.0,0.2128205128205128,735034,341.0,109892.0,-0.02604156239839698,True
Abalone Cove,33.736149,2013-06-15,2013,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,735034,341.0,-0.0,,False
Abalone Cove,33.736149,2013-06-15,2013,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,735034,341.0,-0.0,,False
Abalone Cove,33.736149,2013-06-15,2013,Woody Kelp,9,0.0,9.0,180.0,360.0,0.025,735034,341.0,72.0,-0.09592938738863835,True
Abalone Cove,33.736149,2014-06-14,2014,Giant Kelp,112,650.0,650.0,1740.0,3480.0,0.1867816091954023,735398,684.0,421850.0,-0.04845118505316369,True
Abalone Cove,33.736149,2014-06-14,2014,Laminaria Spp,21,0.0,21.0,180.0,360.0,0.058333333333333334,735398,684.0,420.0,-0.10694758052321883,True
Abalone Cove,33.736149,2014-06-14,2014,Southern Sea Palm >30,4,0.0,4.0,180.0,360.0,0.011111111111111112,735398,684.0,12.0,-0.030068207932764095,True
Abalone Cove,33.736149,2014-06-14,2014,Woody Kelp,9,0.0,9.0,180.0,360.0,0.025,735398,684.0,72.0,-0.05698333342482014,True
Abalone Cove,33.736149,2015-08-21,2015,Giant Kelp,139,254.0,254.0,951.0,1902.0,0.13354363827549948,735831,254.0,64262.0,0.0,True
Abalone Cove,33.736149,2015-08-21,2015,Laminaria Spp,0,0.0,0.0,150.0,300.0,0.0,735831,254.0,-0.0,,False
Abalone Cove,33.736149,2015-08-21,2015,Sargassum Horneri,0,0.0,0.0,150.0,300.0,0.0,735831,254.0,-0.0,,False
Abalone Cove,33.736149,2015-08-21,2015,Southern Sea Palm >30,0,0.0,0.0,150.0,300.0,0.0,735831,254.0,-0.0,,False
Abalone Cove,33.736149,2015-08-21,2015,Woody Kelp,0,0.0,0.0,150.0,300.0,0.0,735831,254.0,-0.0,,False
Abalone Cove,33.736149,2016-10-12,2016,Giant Kelp,181,1161.0,1161.0,2040.0,4080.0,0.28455882352941175,736249,1162.0,1346760.0,-0.0008602147882215671,True
Abalone Cove,33.736149,2016-10-12,2016,Laminaria Spp,1,0.0,1.0,180.0,360.0,0.002777777777777778,736249,1162.0,0.0,-0.006073922493469756,True
Abalone Cove,33.736149,2016-10-12,2016,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,736249,1162.0,-0.0,,False
Abalone Cove,33.736149,2016-10-12,2016,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,736249,1162.0,-0.0,,False
Abalone Cove,33.736149,2016-10-12,2016,Woody Kelp,0,0.0,0.0,180.0,360.0,0.0,736249,1162.0,-0.0,,False
Abalone Cove,33.736149,2017-07-18,2017,Giant Kelp,210,476.0,476.0,1254.0,2508.0,0.189792663476874,736528,479.0,226100.0,-0.006243394057285399,True
Abalone Cove,33.736149,2017-07-18,2017,Laminaria Spp,0,0.0,0.0,180.0,360.0,0.0,736528,479.0,-0.0,,False
Abalone Cove,33.736149,2017-07-18,2017,Sargassum Horneri,1,0.0,1.0,180.0,360.0,0.002777777777777778,736528,479.0,0.0,-0.012884552395429884,True
Abalone Cove,33.736149,2017-07-18,2017,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,736528,479.0,-0.0,,False
Abalone Cove,33.736149,2017-07-18,2017,Woody Kelp,2,0.0,2.0,180.0,360.0,0.005555555555555556,736528,479.0,2.0,-0.022874962074534322,True
Abalone Cove,33.736149,2018-11-02,2018,Giant Kelp,102,357.0,357.0,1290.0,2580.0,0.13837209302325582,737000,368.0,127092.0,-0.029440040301568424,True
Abalone Cove,33.736149,2018-11-02,2018,Oar Kelp,3,0.0,3.0,180.0,360.0,0.008333333333333333,737000,368.0,6.0,-0.03920764116440887,True
Abalone Cove,33.736149,2018-11-02,2018,Sargassum Horneri,1,0.0,1.0,180.0,360.0,0.002777777777777778,737000,368.0,0.0,-0.016054573201546008,True
Abalone Cove,33.736149,2018-11-02,2018,Southern Sea Palm >30,1,0.0,1.0,180.0,360.0,0.002777777777777778,737000,368.0,0.0,-0.016054573201546008,True
Abalone Cove,33.736149,2018-11-02,2018,Woody Kelp,6,0.0,6.0,180.0,360.0,0.016666666666666666,737000,368.0,30.0,-0.06711396960229689,True
Abalone Cove,33.736149,2020-09-20,2020,Giant Kelp,142,843.0,843.0,2040.0,4080.0,0.20661764705882352,737688,915.0,709806.0,-0.07550802342262332,True
Abalone Cove,33.736149,2020-09-20,2020,Oar Kelp,69,0.0,69.0,167.5,335.0,0.20597014925373133,737688,915.0,4692.0,-0.194920668510164,True
Abalone Cove,33.736149,2020-09-20,2020,Sargassum Horneri,0,0.0,0.0,180.0,360.0,0.0,737688,915.0,-0.0,,False
Abalone Cove,33.736149,2020-09-20,2020,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,737688,915.0,-0.0,,False
Abalone Cove,33.736149,2020-09-20,2020,Woody Kelp,3,0.0,3.0,180.0,360.0,0.008333333333333333,737688,915.0,6.0,-0.018755120579040694,True
Albion Cove,39.22778,2018-05-08,2018,Bull Kelp,47,0.0,47.0,180.0,360.0,0.13055555555555556,736822,300.0,2162.0,-0.29040279676156233,True
Albion Cove,39.22778,2018-05-08,2018,Torn Kelp,0,0.0,0.0,180.0,360.0,0.0,736822,300.0,-0.0,,False
Albion Cove,39.22778,2018-05-08,2018,Woody Kelp,253,0.0,253.0,156.1,312.2,0.8103779628443306,736822,300.0,63756.0,-0.14369808479985413,True
Albion Cove,39.22778,2019-05-04,2019,Bull Kelp,0,0.0,0.0,180.0,360.0,0.0,737183,243.0,-0.0,,False
Albion Cove,39.22778,2019-05-04,2019,Torn Kelp,94,0.0,94.0,168.0,336.0,0.27976190476190477,737183,243.0,8742.0,-0.36739944913839995,True
Albion Cove,39.22778,2019-05-04,2019,Woody Kelp,149,0.0,149.0,152.0,304.0,0.4901315789473684,737183,243.0,22052.0,-0.2999101048225033,True
Albion Cove,39.22778,2020-10-24,2020,Bull Kelp,12,0.0,12.0,180.0,360.0,0.03333333333333333,737722,169.0,132.0,-0.1878100874652123,True
Albion Cove,39.22778,2020-10-24,2020,Torn Kelp,0,0.0,0.0,180.0,360.0,0.0,737722,169.0,-0.0,,False
Albion Cove,39.22778,2020-10-24,2020,Woody Kelp,157,0.0,157.0,133.0,266.0,0.5902255639097744,737722,169.0,24492.0,-0.06842311717892412,True
Andrew Molera,36.278454,2015-06-23,2015,Bull Kelp,3,0.0,3.0,180.0,360.0,0.008333333333333333,735772,1295.0,6.0,-0.014056340584090027,True
Andrew Molera,36.278454,2015-06-23,2015,Giant Kelp,72,858.0,858.0,1320.0,2640.0,0.325,735772,1295.0,735306.0,-0.2727458598038532,True
Andrew Molera,36.278454,2015-06-23,2015,Laminaria Spp,213,0.0,213.0,174.0,348.0,0.6120689655172413,735772,1295.0,45156.0,-0.2968798619261447,True
Andrew Molera,36.278454,2015-06-23,2015,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,735772,1295.0,-0.0,,False
Andrew Molera,36.278454,2015-06-23,2015,Woody Kelp,221,0.0,221.0,116.2,232.4,0.9509466437177281,735772,1295.0,48620.0,-0.3017380874502785,True
Andrew Molera,36.278454,2017-06-27,2017,Bull Kelp,0,0.0,0.0,180.0,360.0,0.0,736507,2368.0,-0.0,,False
Andrew Molera,36.278454,2017-06-27,2017,Giant Kelp,118,2088.0,2088.0,2610.0,5220.0,0.4,736507,2368.0,4357656.0,-0.11095942995728637,True
Andrew Molera,36.278454,2017-06-27,2017,Laminaria Spp,41,0.0,41.0,180.0,360.0,0.11388888888888889,736507,2368.0,1640.0,-0.07023031507655537,True
Andrew Molera,36.278454,2017-06-27,2017,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,736507,2368.0,-0.0,,False
Andrew Molera,36.278454,2017-06-27,2017,Woody Kelp,239,0.0,239.0,170.0,340.0,0.7029411764705882,736507,2368.0,56882.0,-0.231464378856968,True
Andrew Molera,36.278454,2018-06-19,2018,Bull Kelp,0,0.0,0.0,180.0,360.0,0.0,736864,1936.0,-0.0,,False
Andrew Molera,36.278454,2018-06-19,2018,Giant Kelp,61,1588.0,1588.0,1500.0,3000.0,0.5293333333333333,736864,1936.0,2520156.0,-0.16253100110266155,True
Andrew Molera,36.278454,2018-06-19,2018,Oar Kelp,0,0.0,0.0,180.0,360.0,0.0,736864,1936.0,-0.0,,False
Andrew Molera,36.278454,2018-06-19,2018,Southern Sea Palm >30,1,0.0,1.0,180.0,360.0,0.002777777777777778,736864,1936.0,0.0,-0.00390928681189903,True
Andrew Molera,36.278454,2018-06-19,2018,Torn Kelp,132,0.0,132.0,169.0,338.0,0.3905325443786982,736864,1936.0,17292.0,-0.18310754626705578,True
Andrew Molera,36.278454,2018-06-19,2018,Woody Kelp,215,0.0,215.0,160.0,320.0,0.671875,736864,1936.0,46010.0,-0.2440673380875025,True
Andrew Molera,36.278454,2019-06-18,2019,Bull Kelp,85,0.0,85.0,180.0,360.0,0.2361111111111111,737228,877.0,7140.0,-0.22620038489162905,True
Andrew Molera,36.278454,2019-06-18,2019,Giant Kelp,12,374.0,374.0,450.0,900.0,0.41555555555555557,737228,877.0,139502.0,-0.3634457775532058,True
Andrew Molera,36.278454,2019-06-18,2019,Oar Kelp,0,0.0,0.0,180.0,360.0,0.0,737228,877.0,-0.0,,False
Andrew Molera,36.278454,2019-06-18,2019,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,737228,877.0,-0.0,,False
Andrew Molera,36.278454,2019-06-18,2019,Torn Kelp,210,0.0,210.0,141.5,283.0,0.7420494699646644,737228,877.0,43890.0,-0.342273531297024,True
Andrew Molera,36.278454,2019-06-18,2019,Woody Kelp,208,0.0,208.0,120.0,240.0,0.8666666666666667,737228,877.0,43056.0,-0.3412833909185176,True
Andrew Molera,36.278454,2021-08-24,2021,Bull Kelp,22,0.0,22.0,180.0,360.0,0.06111111111111111,738026,1916.0,462.0,-0.05129068638507034,True
Andrew Molera,36.278454,2021-08-24,2021,Giant Kelp,58,1462.0,1462.0,1530.0,3060.0,0.4777777777777778,738026,1916.0,2135982.0,-0.20635437016660854,True
Andrew Molera,36.278454,2021-08-24,2021,Oar Kelp,0,0.0,0.0,180.0,360.0,0.0,738026,1916.0,-0.0,,False
Andrew Molera,36.278454,2021-08-24,2021,Southern Sea Palm >30,0,0.0,0.0,180.0,360.0,0.0,738026,1916.0,-0.0,,False
Andrew Molera,36.278454,2021-08-24,2021,Torn Kelp,59,0.0,59.0,180.0,360.0,0.1638888888888889,738026,1916.0,3422.0,-0.10717483995974954,True
Andrew Molera,36.278454,2021-08-24,2021,Woody Kelp,373,0.0,373.0,158.5,317.0,1.1766561514195584,738026,1916.0,138756.0,-0.31857169572278043,True
Andrew Molera,36.278454,2022-06-22,2022,Bull Kelp,296,0.0,296.0,151.5,303.0,0.976897689768977,738328,1117.0,87320.0,-0.3519252766737346,True
Andrew Molera,36.278454,2022-06-22,2022,Giant Kelp,19,270.0,270.0,450.0,900.0,0.3,738328,1117.0,72630.0,-0.34323595059903583,True
Andrew Molera,36.278454,2022-06-22,2022,No Blade Kelp,19,0.0,19.0,180.0,360.0,0.05277777777777778,738328,1117.0,342.0,-0.06929748753639431,True
