Site,Latitude,Date,Year,Month,Day,Month_Day,Dateordinal,DayofYear,Total_Count_Site_Invert,Simpsons_Invert,Shannon_Invert,Richness_Invert,std_Simpsons_Invert,std_Shannon_Invert,std_Richness_Invert,Total_Count_Site_Kelp,Simpsons_Kelp,Shannon_Kelp,Richness_Kelp,std_Simpsons_Kelp,std_Shannon_Kelp,std_Richness_Kelp
Abalone Cove,33.736149,2013-06-15,2013,Jun,15,Jun-15,735034,166,1158,0.8037924893603999,1.8388446021874896,13,1.2112095638931148,1.3710850900052705,0.6469590406429135,341.0,0.05154390201828529,0.12197094978703532,2.0,-0.8201281718838453,-0.7627874050593391,-0.4219424791401416
Abalone Cove,33.736149,2014-06-14,2014,Jun,14,Jun-14,735398,165,995,0.7528244845960184,1.5325167536505355,11,0.8806953021194803,0.5383638628236038,-0.1070746889284234,684.0,0.09593468786656734,0.24245030693396674,4.0,-0.6433361050936552,-0.4874122977066215,0.7716808976787615
Abalone Cove,33.736149,2015-08-21,2015,Aug,21,Aug-21,735831,233,341,0.7665689149560118,1.678734059762763,11,0.969824360141916,0.935840798604984,-0.1070746889284234,254.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Abalone Cove,33.736149,2016-10-12,2016,Oct,12,Oct-12,736249,286,524,0.7600309430327091,1.693054469267267,14,0.9274273117638866,0.9747693812764232,1.023975905428582,1162.0,0.0017211703958691649,0.006934137281691323,2.0,-1.0185536678136677,-1.0257226940859903,-0.4219424791401416
Abalone Cove,33.736149,2017-07-18,2017,Jul,18,Jul-18,736528,199,459,0.8236816317987651,2.004462555853095,15,1.340185482427027,1.8213007209980947,1.4009927702142506,479.0,0.012491155737633264,0.042002908527249604,3.0,-0.975660803191308,-0.9455673307510402,0.17486920926930993
Abalone Cove,33.736149,2018-11-02,2018,Nov,2,Nov-02,737000,306,1092,0.8341844528828947,2.049623164455796,16,1.4082935469512157,1.9440652610016305,1.778009634999919,368.0,0.0587015756426964,0.16787079747136618,5.0,-0.7916218075722471,-0.6578758601867083,1.368492586088213
Abalone Cove,33.736149,2020-09-20,2020,Sep,20,Sep-20,737688,264,1068,0.8177851724706815,1.922980487758272,15,1.301948476467913,1.5997999724984502,1.4009927702142506,915.0,0.1456469490978226,0.289183812511828,3.0,-0.44535057183624865,-0.38059529253470975,0.17486920926930993
Albion Cove,39.22778,2018-05-08,2018,May,8,May-08,736822,128,998,0.4705619865608851,0.9694225112688476,11,-0.9497036235543768,-0.992350797219602,-0.1070746889284234,300.0,0.2651282051282051,0.43410088156141646,2.0,0.030499039578474132,-0.04936383187789948,-0.4219424791401416
Albion Cove,39.22778,2019-05-04,2019,May,4,May-04,737183,124,1275,0.3405731523378582,0.7632412802367372,9,-1.792647422917373,-1.552833588930828,-0.8611084184997604,243.0,0.4763459510934258,0.6673095539609033,2.0,0.8717011300208952,0.4836724053529621,-0.4219424791401416
Albion Cove,39.22778,2020-10-24,2020,Oct,24,Oct-24,737722,298,869,0.6731106786231327,1.3338613511038329,9,0.363771991974386,-0.0016607264686828,-0.8611084184997604,169.0,0.13271344040574806,0.2562332046441364,2.0,-0.49685994903753644,-0.45590924999413485,-0.4219424791401416
Andrew Molera,36.278454,2015-06-23,2015,Jun,23,Jun-23,735772,174,448,0.5731563598593801,1.1005297128480944,8,-0.2844057821019364,-0.6359491500534804,-1.2381252832854288,1295.0,0.5052377172933586,0.8854201497643663,4.0,0.9867663392100846,0.9821995402620115,0.7716808976787615
Andrew Molera,36.278454,2017-06-27,2017,Jun,27,Jun-27,736507,178,462,0.6799917363908687,1.3481603014030703,10,0.4083938628684647,0.0372095215269193,-0.4840915537140919,2368.0,0.21210813950832963,0.41265412389080974,3.0,-0.18066025402641822,-0.09838387427992243,0.17486920926930993
Andrew Molera,36.278454,2018-06-19,2018,Jun,19,Jun-19,736864,170,563,0.6627813631852746,1.3461948280718263,12,0.2967890664635075,0.0318665813659014,0.269942175857245,1936.0,0.31037168727443565,0.5936151722691189,4.0,0.21068708005955328,0.31523194592290316,0.7716808976787615
Andrew Molera,36.278454,2019-06-18,2019,Jun,18,Jun-18,737228,169,1210,0.3837075925052464,0.8404598372556291,12,-1.512931791221577,-1.342922763424501,0.269942175857245,877.0,0.6959487251578909,1.2732030846603766,4.0,1.746297683287781,1.8685403197559576,0.7716808976787615
Andrew Molera,36.278454,2021-08-24,2021,Aug,24,Aug-24,738026,236,1174,0.6336829080198852,1.3240504698963949,15,0.1080931488539778,-0.0283306132511304,1.4009927702142506,1916.0,0.3789765449124318,0.6833915922342089,4.0,0.48391483086175036,0.5204305116446575,0.7716808976787615
Andrew Molera,36.278454,2022-06-22,2022,Jun,22,Jun-22,738328,173,1064,0.5293165887437314,1.1164268677592344,11,-0.568695301646552,-0.5927343447084007,-0.1070746889284234,1117.0,0.755622619471639,1.4421891607353516,5.0,1.983956713366772,2.254785398931714,1.368492586088213
Andrew Molera,36.278454,2023-07-01,2023,Jul,1,Jul-01,738702,182,1575,0.56532139327565,1.216090572708524,12,-0.3352135036993164,-0.3218086581042582,0.269942175857245,629.0,0.7135276902980163,1.3389735472381388,5.0,1.816308193797267,2.018869377130501,1.368492586088213
Andrew Molera,36.278454,2024-07-15,2024,Jul,15,Jul-15,739082,197,1268,0.5759923712587671,1.2036089338980622,11,-0.2660149853975483,-0.3557387288997387,-0.1070746889284234,934.0,0.7574493184702704,1.4942660440469357,6.0,1.991231779243627,2.3738155603811406,1.9653042744976645
Aquarium,36.619232,2007-05-19,2007,May,19,May-19,732815,139,275,0.4616589250165892,1.1577396734542094,13,-1.0074376633199391,-0.4804296671515145,0.6469590406429135,371.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2007-07-28,2007,Jul,28,Jul-28,732885,209,336,0.3604299928926794,0.9881293801515624,15,-1.6638809737013749,-0.9414980690489808,1.4009927702142506,1152.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2007-10-02,2007,Oct,2,Oct-02,732951,275,267,0.4867505843259835,0.9721107797690306,8,-0.8447247752706983,-0.9850430116063844,-1.2381252832854288,771.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2008-05-17,2008,May,17,May-17,733179,138,381,0.3879817654372151,0.9866706697109596,15,-1.4852148908282208,-0.9454634256236544,1.4009927702142506,941.0,0.002125398512221044,0.00833837577219509,2.0,-1.0169437768694343,-1.0225130793085833,-0.4219424791401416
Aquarium,36.619232,2008-10-04,2008,Oct,4,Oct-04,733319,278,376,0.3491205673758865,0.9005371520958472,13,-1.7372196582947126,-1.1796086684819034,0.6469590406429135,1705.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2009-05-24,2009,May,24,May-24,733551,144,416,0.2162071362372567,0.6071331142677008,12,-2.599128708406968,-1.9771978253516425,0.269942175857245,953.0,0.020787958415265373,0.05825566393406483,2.0,-0.9426177095605217,-0.9084190227676986,-0.4219424791401416
Aquarium,36.619232,2009-10-17,2009,Oct,17,Oct-17,733697,290,317,0.3879127900011979,1.039028220461888,15,-1.4856621786006403,-0.8031347273947042,1.4009927702142506,1012.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2010-07-10,2010,Jul,10,Jul-10,733963,191,276,0.3685902503293807,0.9381415314747172,13,-1.6109638254817729,-1.077384972225309,0.6469590406429135,783.0,0.12654457085182902,0.25395366241454115,3.0,-0.5214282727866109,-0.46111951340402585,0.17486920926930993
Aquarium,36.619232,2010-10-23,2010,Oct,23,Oct-23,734068,296,369,0.4493048191351478,1.0815722216894357,12,-1.0875508285135551,-0.6874831694948101,0.269942175857245,895.0,0.06277479909514705,0.14299588600147373,2.0,-0.7753996664477756,-0.7147315039967687,-0.4219424791401416
Aquarium,36.619232,2011-05-14,2011,May,14,May-14,734271,134,344,0.3667536782154722,0.9250530967547864,14,-1.6228735182238896,-1.1129645562361086,1.023975905428582,1506.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2012-05-05,2012,May,5,May-05,734628,126,442,0.5195719313366371,1.2174880473285534,16,-0.631886871809674,-0.3180097649050142,1.778009634999919,968.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2013-06-22,2013,Jun,22,Jun-22,735041,173,475,0.621301354652454,1.474357352163726,16,0.0278019938486859,0.3802634210598015,1.778009634999919,1059.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2014-05-10,2014,May,10,May-10,735363,130,302,0.3775714505731447,0.9405857487700028,11,-1.5527230765623006,-1.0707406150917678,-0.1070746889284234,295.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2015-05-30,2015,May,30,May-30,735748,150,470,0.6045365875788232,1.2103713772567053,12,-0.0809131626257197,-0.337355711621842,0.269942175857245,1149.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2016-05-14,2016,May,14,May-14,736098,135,375,0.4334830659536541,0.9823987953754268,11,-1.1901507850337385,-0.957076083291054,-0.1070746889284234,976.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2017-05-13,2017,May,13,May-13,736462,133,560,0.665761564017378,1.4910860505248595,13,0.3161148941570446,0.4257386930436175,0.6469590406429135,319.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2017-10-01,2017,Oct,1,Oct-01,736603,274,631,0.5749654114154907,1.250126446878152,15,-0.272674553023175,-0.2292855817920692,1.4009927702142506,286.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2018-05-12,2018,May,12,May-12,736826,132,552,0.5676766879718036,1.1821916922090074,11,-0.3199400298531796,-0.4139593310008388,-0.1070746889284234,840.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2019-05-05,2019,May,5,May-05,737184,125,1082,0.4702891996012455,1.0060947962949285,13,-0.95147257607672,-0.8926609050458257,0.6469590406429135,638.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2020-08-19,2020,Aug,19,Aug-19,737656,232,928,0.7220571550794181,1.6586662570405049,16,0.681177168165926,0.8812885096455216,1.778009634999919,1447.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2021-06-12,2021,Jun,12,Jun-12,737953,163,898,0.5309904581716337,1.1526474574866714,13,-0.557840693528653,-0.4942723404501216,0.6469590406429135,217.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2022-07-03,2022,Jul,3,Jul-03,738339,184,1859,0.529735479391851,1.1426189938137712,12,-0.5659789046840432,-0.5215337031252061,0.269942175857245,768.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2023-05-21,2023,May,21,May-21,738661,141,1302,0.5486822732365864,1.2434035971376745,15,-0.4431138718164779,-0.2475609678295648,1.4009927702142506,894.0,0.0,0.0,1.0,-1.0254084523318738,-1.0415717892634777,-1.018754167549593
Aquarium,36.619232,2024-06-30,2024,Jun,30,Jun-30,739067,182,804,0.7188032440537041,1.5504440178283403,13,0.6600764010177377,0.5870973145729332,0.6469590406429135,633.0,0.003159557661927326,0.011768846945418118,2.0,-1.0128251038166203,-1.0146721811666333,-0.4219424791401416
Asilomar,36.63456,2019-10-03,2019,Oct,3,Oct-03,737335,276,1112,0.59884639543091,1.2037866577881124,13,-0.117812579540544,-0.3552556045069388,0.6469590406429135,236.0,0.0825459790840245,0.21538571671125975,4.0,-0.6966583757425161,-0.549272807378382,0.7716808976787615
Asilomar,36.63456,2020-08-25,2020,Aug,25,Aug-25,737662,238,2031,0.4477796130421811,0.9880108586194104,13,-1.0974413935494034,-0.9418202578286572,0.6469590406429135,266.0,0.6095900127677685,1.019937462575095,4.0,1.4023629013947456,1.2896606716397112,0.7716808976787615
Asilomar,36.63456,2021-08-23,2021,Aug,23,Aug-23,738025,235,2292,0.5215129694083305,1.1217461126089727,13,-0.6192997444872292,-0.5782745163901161,0.6469590406429135,54.0,0.3074772886093641,0.4791656239282754,2.0,0.19915976166826208,0.05363894437332165,-0.4219424791401416
Asilomar,36.63456,2022-08-13,2022,Aug,13,Aug-13,738380,225,2357,0.4202818898012135,0.915756341138136,12,-1.2757569807390252,-1.138236844677658,0.269942175857245,0.0,0.0,0.0,0.0,-1.0254084523318738,-1.0415717892634777,-1.6155658559590447
Asilomar,36.63456,2023-08-12,2023,Aug,12,Aug-12,738744,224,1765,0.5422160554495641,1.0711590835834113,10,-0.4850456132732036,-0.7157902306512645,-0.4840915537140919,0.0,0.0,0.0,0.0,-1.0254084523318738,-1.0415717892634777,-1.6155658559590447
Asilomar,36.63456,2024-07-28,2024,Jul,28,Jul-28,739095,210,1410,0.6195984275352471,1.2265974418460497,12,0.0167589541691874,-0.2932467986330255,0.269942175857245,0.0,0.0,0.0,0.0,-1.0254084523318738,-1.0415717892634777,-1.6155658559590447
Beach Street,37.5244,2018-09-23,2018,Sep,23,Sep-23,736960,266,584,0.6909349373810475,1.45698196822932,9,0.4793576766067073,0.3330301998501873,-0.8611084184997604,42.0,0.09291521486643439,0.19144408195771734,2.0,-0.6553615482596121,-0.6039952959156992,-0.4219424791401416
Beach Street,37.5244,2019-10-13,2019,Oct,13,Oct-13,737345,286,658,0.7194949873469256,1.4976846666165076,11,0.6645621764557386,0.4436763624908501,-0.1070746889284234,43.0,0.5116279069767442,0.6928767397383337,2.0,1.012216099103236,0.5421103543501534,-0.4219424791401416
Beach Street,37.5244,2022-09-27,2022,Sep,27,Sep-27,738425,270,771,0.6950359627402429,1.421127227551902,14,0.5059517600003087,0.2355627191761994,1.023975905428582,18.0,0.6209150326797386,0.9809896824453153,3.0,1.4474662632392563,1.2006392044907117,0.17486920926930993
Big Creek,36.068272,2007-08-18,2007,Aug,18,Aug-18,732906,230,391,0.3655452816578136,0.8661033946465488,11,-1.6307096557778444,-1.2732133501868268,-0.1070746889284234,849.0,0.5589372624841655,0.9815954575209387,4.0,1.2006317484061098,1.20202380165683,0.7716808976787615
Big Creek,36.068272,2008-08-16,2008,Aug,16,Aug-16,733270,229,272,0.3254558280876927,0.742673400863368,8,-1.890679340934063,-1.6087452856117466,-1.2381252832854288,909.0,0.415308491201543,0.737127614469328,4.0,0.6286115230292472,0.643252904145121,0.7716808976787615
Big Creek,36.068272,2009-08-14,2009,Aug,14,Aug-14,733633,226,382,0.4838603289772024,1.111437992274072,11,-0.863467329886202,-0.6062960973734045,-0.1070746889284234,1271.0,0.5307743298413425,0.9298394431176322,4.0,1.088469213464407,1.0837270381284707,0.7716808976787615
Big Creek,36.068272,2010-08-14,2010,Aug,14,Aug-14,733998,226,289,0.3394607843137255,0.8600357490460598,11,-1.7998608403940122,-1.289707630137783,-0.1070746889284234,774.0,0.7425046214119291,1.3697044656125454,4.0,1.9317125833112196,2.0891098743144236,0.7716808976787615
Big Creek,36.068272,2011-08-18,2011,Aug,18,Aug-18,734367,230,433,0.6308698999230178,1.4761492188975702,16,0.089851522586725,0.3851344292710346,1.778009634999919,898.0,0.6090780205237454,1.064305617335614,4.0,1.4003238258237305,1.3910712839599573,0.7716808976787615
Big Creek,36.068272,2012-08-14,2012,Aug,14,Aug-14,734729,227,483,0.6171576333943283,1.376773180022733,14,0.000931038649313,0.1149907337515442,1.023975905428582,1104.0,0.5394625330127321,0.9365942265403098,4.0,1.1230711103673534,1.0991661909776653,0.7716808976787615
Big Creek,36.068272,2013-08-14,2013,Aug,14,Aug-14,735094,226,522,0.4519307844478273,0.9930895543697728,8,-1.0705221260800248,-0.9280143378709298,-1.2381252832854288,1057.0,0.5066852297812563,0.8334764629903703,3.0,0.992531245587608,0.8634738210980175,0.17486920926930993
Big Creek,36.068272,2014-08-16,2014,Aug,16,Aug-16,735461,228,0,,-0.0,0,,-3.6276276977588737,-4.254260201570776,0.0,0.0,0.0,0.0,-1.0254084523318738,-1.0415717892634777,-1.6155658559590447
Big Creek,36.068272,2015-08-13,2015,Aug,13,Aug-13,735823,225,493,0.6355398341001666,1.317672667558935,14,0.1201348317770122,-0.0456680228746338,1.023975905428582,1216.0,0.5485732077106347,0.9293012095594251,4.0,1.1593555549635879,1.0824968180527494,0.7716808976787615
Big Creek,36.068272,2016-04-09,2016,Apr,9,Apr-09,736063,100,411,0.6900718058275473,1.4786345778150602,13,0.473760492853146,0.3918906257371536,0.6469590406429135,891.0,0.5139232525000315,0.801425721173604,3.0,1.0213576105972315,0.7902166534177281,0.17486920926930993
Big Creek,36.068272,2016-09-29,2016,Sep,29,Sep-29,736236,273,399,0.6668933640634249,1.4493712003200283,14,0.3234543232444472,0.3123410982112437,1.023975905428582,1098.0,0.5092726810825351,0.7865927329675411,3.0,1.0028361062592681,0.7563134535971585,0.17486920926930993
Big Creek,36.068272,2017-06-28,2017,Jun,28,Jun-28,736508,179,369,0.6835454224107458,1.460319608460138,15,0.4314385929273459,0.342103236735903,1.4009927702142506,573.0,0.6686193387764068,1.215782305406735,4.0,1.6374548545303975,1.7372958175798352,0.7716808976787615
Big Creek,36.068272,2018-08-14,2018,Aug,14,Aug-14,736920,226,503,0.6641426342344341,1.4148899925205034,14,0.3056165553551503,0.218607427535648,1.023975905428582,1119.0,0.5324249705445541,0.9179621294079601,4.0,1.0950431043264914,1.0565795116532584,0.7716808976787615
Big Creek,36.068272,2019-08-13,2019,Aug,13,Aug-13,737284,225,540,0.6556654985226413,1.4067129772120164,11,0.2506445338940293,0.1963790396992571,-0.1070746889284234,1205.0,0.5873740367516301,1.004526776458508,4.0,1.3138848931639813,1.254437049566772,0.7716808976787615
Big Creek,36.068272,2020-08-13,2020,Aug,13,Aug-13,737650,226,1043,0.6489493064999641,1.4877752019988884,16,0.2070917744998372,0.4167384866936984,1.778009634999919,1643.0,0.4427494045161142,0.7765285571653185,4.0,0.7378985222744124,0.7333101478227615,0.7716808976787615
Big Creek,36.068272,2021-08-09,2021,Aug,9,Aug-09,738011,221,1254,0.557938777874091,1.3104818644652427,13,-0.3830878454689232,-0.0652154927021405,0.6469590406429135,517.0,0.6299236801463421,1.1057520568043155,4.0,1.4833443711431895,1.4858038422036273,0.7716808976787615
Big Creek,36.068272,2022-08-06,2022,Aug,6,Aug-06,738373,218,743,0.7478569070534331,1.6881452457705086,14,0.8484818530766752,0.961424154473654,1.023975905428582,676.0,0.7244181459566075,1.417060353382433,6.0,1.8596808470940491,2.1973494349099556,1.9653042744976645
Big Creek,36.068272,2023-08-11,2023,Aug,11,Aug-11,738743,223,508,0.7932255509481433,1.939472684467126,18,1.14268571516331,1.6446323386966597,2.532043364571256,985.0,0.5927076884982048,1.130380675372343,5.0,1.3351268535797942,1.5420965436483116,1.368492586088213
Big Creek,36.068272,2024-08-15,2024,Aug,15,Aug-15,739113,228,665,0.6358275206087508,1.3966855328951215,13,0.1220004040011264,0.1691204480402191,0.6469590406429135,620.0,0.6267027984782949,1.1480511167481962,5.0,1.4705167918133961,1.582485202801855,1.368492586088213
Big Rock,34.035168,2007-10-07,2007,Oct,7,Oct-07,732956,280,296,0.5334631241410903,1.222929208298834,9,-0.5418060974857867,-0.3032185199623646,-0.8611084184997604,997.0,0.06670010030090268,0.18530938510316786,4.0,-0.7597666448718257,-0.6180171403619448,0.7716808976787615
Big Rock,34.035168,2009-10-10,2009,Oct,10,Oct-10,733690,283,506,0.6048291785700309,1.3174975284366937,10,-0.0790157861067115,-0.0461441208379658,-0.4840915537140919,1050.0,0.043094103227563685,0.11882284772694711,3.0,-0.8537805923946828,-0.7699829028050388,0.17486920926930993
Big Rock,34.035168,2010-10-09,2010,Oct,9,Oct-09,734054,282,274,0.4445603058741745,1.0781205703079904,13,-1.118317763675626,-0.6968661341448997,0.6469590406429135,497.0,0.07834101382488479,0.20667243298146218,4.0,-0.7134051957128823,-0.5691884302643961,0.7716808976787615
Big Rock,34.035168,2012-10-20,2012,Oct,20,Oct-20,734796,294,527,0.5932280430877122,1.1856431016356048,11,-0.1542461339965331,-0.4045770240804942,-0.1070746889284234,1021.0,0.04036795913272262,0.10417942007140711,3.0,-0.8646378151197335,-0.8034528312487829,0.17486920926930993
Big Rock,34.035168,2016-09-10,2016,Sep,10,Sep-10,736217,254,125,0.3499354838709677,0.795604385962998,8,-1.7319351366615023,-1.4648577641911102,-1.2381252832854288,0.0,0.0,0.0,0.0,-1.0254084523318738,-1.0415717892634777,-1.6155658559590447
